Antall datapunkter: 100
X: 1.000, Y: 0.000, Z: 0.000, r: 1.000, g: 1.000, b: 1.000
X: -0.998, Y: 3.200, Z: -0.058, r: 1.000, g: 1.000, b: 1.000
X: -0.987, Y: 3.300, Z: -0.158, r: 1.000, g: 1.000, b: 1.000
X: -0.967, Y: 3.400, Z: -0.256, r: 1.000, g: 1.000, b: 1.000
X: -0.936, Y: 3.500, Z: -0.351, r: 1.000, g: 1.000, b: 1.000
X: -0.897, Y: 3.600, Z: -0.443, r: 1.000, g: 1.000, b: 1.000
X: -0.848, Y: 3.700, Z: -0.530, r: 1.000, g: 1.000, b: 1.000
X: -0.791, Y: 3.800, Z: -0.612, r: 1.000, g: 1.000, b: 1.000
X: -0.726, Y: 3.900, Z: -0.688, r: 1.000, g: 1.000, b: 1.000
X: -0.654, Y: 4.000, Z: -0.757, r: 1.000, g: 1.000, b: 1.000
X: -0.575, Y: 4.100, Z: -0.818, r: 1.000, g: 1.000, b: 1.000
X: -0.490, Y: 4.200, Z: -0.872, r: 1.000, g: 1.000, b: 1.000
X: -0.401, Y: 4.300, Z: -0.916, r: 1.000, g: 1.000, b: 1.000
X: -0.307, Y: 4.400, Z: -0.952, r: 1.000, g: 1.000, b: 1.000
X: -0.211, Y: 4.500, Z: -0.978, r: 1.000, g: 1.000, b: 1.000
X: -0.112, Y: 4.600, Z: -0.994, r: 1.000, g: 1.000, b: 1.000
X: -0.012, Y: 4.700, Z: -1.000, r: 1.000, g: 1.000, b: 1.000
X: 0.087, Y: 4.800, Z: -0.996, r: 1.000, g: 1.000, b: 1.000
X: 0.187, Y: 4.900, Z: -0.982, r: 1.000, g: 1.000, b: 1.000
X: 0.284, Y: 5.000, Z: -0.959, r: 1.000, g: 1.000, b: 1.000
X: 0.378, Y: 5.100, Z: -0.926, r: 1.000, g: 1.000, b: 1.000
X: 0.469, Y: 5.200, Z: -0.883, r: 1.000, g: 1.000, b: 1.000
X: 0.554, Y: 5.300, Z: -0.832, r: 1.000, g: 1.000, b: 1.000
X: 0.635, Y: 5.400, Z: -0.773, r: 1.000, g: 1.000, b: 1.000
X: 0.709, Y: 5.500, Z: -0.706, r: 1.000, g: 1.000, b: 1.000
X: 0.776, Y: 5.600, Z: -0.631, r: 1.000, g: 1.000, b: 1.000
X: 0.835, Y: 5.700, Z: -0.551, r: 1.000, g: 1.000, b: 1.000
X: 0.886, Y: 5.800, Z: -0.465, r: 1.000, g: 1.000, b: 1.000
X: 0.927, Y: 5.900, Z: -0.374, r: 1.000, g: 1.000, b: 1.000
X: 0.960, Y: 6.000, Z: -0.279, r: 1.000, g: 1.000, b: 1.000
X: 0.983, Y: 6.100, Z: -0.182, r: 1.000, g: 1.000, b: 1.000
X: 0.997, Y: 6.200, Z: -0.083, r: 1.000, g: 1.000, b: 1.000
X: 1.000, Y: 6.300, Z: 0.017, r: 1.000, g: 1.000, b: 1.000
X: 0.993, Y: 6.400, Z: 0.117, r: 1.000, g: 1.000, b: 1.000
X: 0.977, Y: 6.500, Z: 0.215, r: 1.000, g: 1.000, b: 1.000
X: 0.950, Y: 6.600, Z: 0.312, r: 1.000, g: 1.000, b: 1.000
X: 0.914, Y: 6.700, Z: 0.405, r: 1.000, g: 1.000, b: 1.000
X: 0.869, Y: 6.800, Z: 0.494, r: 1.000, g: 1.000, b: 1.000
X: 0.816, Y: 6.900, Z: 0.578, r: 1.000, g: 1.000, b: 1.000
X: 0.754, Y: 7.000, Z: 0.657, r: 1.000, g: 1.000, b: 1.000
X: 0.685, Y: 7.100, Z: 0.729, r: 1.000, g: 1.000, b: 1.000
X: 0.608, Y: 7.200, Z: 0.794, r: 1.000, g: 1.000, b: 1.000
X: 0.526, Y: 7.300, Z: 0.850, r: 1.000, g: 1.000, b: 1.000
X: 0.439, Y: 7.400, Z: 0.899, r: 1.000, g: 1.000, b: 1.000
X: 0.347, Y: 7.500, Z: 0.938, r: 1.000, g: 1.000, b: 1.000
X: 0.251, Y: 7.600, Z: 0.968, r: 1.000, g: 1.000, b: 1.000
X: 0.153, Y: 7.700, Z: 0.988, r: 1.000, g: 1.000, b: 1.000
X: 0.054, Y: 7.800, Z: 0.999, r: 1.000, g: 1.000, b: 1.000
X: -0.046, Y: 7.900, Z: 0.999, r: 1.000, g: 1.000, b: 1.000
X: -0.145, Y: 8.000, Z: 0.989, r: 1.000, g: 1.000, b: 1.000
X: -0.244, Y: 8.100, Z: 0.970, r: 1.000, g: 1.000, b: 1.000
X: -0.339, Y: 8.200, Z: 0.941, r: 1.000, g: 1.000, b: 1.000
X: -0.431, Y: 8.300, Z: 0.902, r: 1.000, g: 1.000, b: 1.000
X: -0.519, Y: 8.400, Z: 0.855, r: 1.000, g: 1.000, b: 1.000
X: -0.602, Y: 8.500, Z: 0.798, r: 1.000, g: 1.000, b: 1.000
X: -0.679, Y: 8.600, Z: 0.734, r: 1.000, g: 1.000, b: 1.000
X: -0.749, Y: 8.700, Z: 0.663, r: 1.000, g: 1.000, b: 1.000
X: -0.811, Y: 8.800, Z: 0.585, r: 1.000, g: 1.000, b: 1.000
X: -0.865, Y: 8.900, Z: 0.501, r: 1.000, g: 1.000, b: 1.000
X: -0.911, Y: 9.000, Z: 0.412, r: 1.000, g: 1.000, b: 1.000
X: -0.948, Y: 9.100, Z: 0.319, r: 1.000, g: 1.000, b: 1.000
X: -0.975, Y: 9.200, Z: 0.223, r: 1.000, g: 1.000, b: 1.000
X: -0.992, Y: 9.300, Z: 0.124, r: 1.000, g: 1.000, b: 1.000
X: -1.000, Y: 9.400, Z: 0.025, r: 1.000, g: 1.000, b: 1.000
X: -0.997, Y: 9.500, Z: -0.075, r: 1.000, g: 1.000, b: 1.000
X: -0.985, Y: 9.600, Z: -0.174, r: 1.000, g: 1.000, b: 1.000
X: -0.962, Y: 9.700, Z: -0.272, r: 1.000, g: 1.000, b: 1.000
X: -0.930, Y: 9.800, Z: -0.366, r: 1.000, g: 1.000, b: 1.000
X: -0.889, Y: 9.900, Z: -0.458, r: 1.000, g: 1.000, b: 1.000
